A0	Прилагательное, имеющее то же лексическое значение, что X
A1	Семантически производное от X-а прилагательное, причастие или сочетание предлога с существительным, описывающее свойство, состояние или действие участника P1
A2	Семантически производное от X-а прилагательное, страдательное причастие или сочетание предлога с существительным, описывающее свойство или состояние участника P2 или отношение, в котором P2 находится к P1
ADV0	Наречие, имеющее то же лексическое значение, что X
ADV1	Семантически производное от X-а наречие или сочетание предлога с существительным, описывающее свойство, состояние или действие участника P1
ANTI	Антоним – лексема той же части речи, что X, со значением, противоположным значению X-а
ANTIBON	Прилагательное или наречие, выражающее стандартную отрицательную оценку X-а и выполняющее при X-е функцию синтаксического определения или обстоятельства
ANTIFACT0	
ANTIMAGN	Прилагательное, наречие или сочетание предлога с существительным, обозначающее небольшую степень X-а и выполняющее при X-е функцию синтаксического определения или обстоятельства
ANTIREAL1	
ANTIREAL1-M	Делать по отношению к X-у нечто противоположное тому, что нормально ожидается от P1 (лексически обусловленный глагол, при котором P1 выступает в функции подлежащего, а X - в функции главного дополнения)
ANTIREAL2-M	Делать по отношению к X-у нечто противоположное тому, что нормально ожидается от P2 (лексически обусловленный глагол, при котором P2 выступает в функции подлежащего, а X - в функции главного дополнения)
ANTIVER	Прилагательное или наречие со значением свойства, противоположного тому, которое нормально требуется или ожидается от X-а, и выполняющее при X-е функцию синтаксического определения или обстоятельства
BON	Прилагательное или наречие, выражающее стандартную положительную оценку X-а и выполняющее при X-е функцию синтаксического определения или обстоятельства
CAP	Существительное, обозначающее главу или руководителя X-а и либо подчиняющее X синтаксически, либо включающее значение X-а в свое лексическое значение
CAUSFACT0	Делать так или быть причиной того, что X функционирует в соответствии со своим предназначением  (лексически обусловленный глагол, при котором P0 или P1 выполняет функцию подлежащего, а Х -  функцию главного дополнения)
CAUSFACT1	Делать так, что X функционирует в соответствии со своим предназначением по отношению к P1 (лексически обусловленный глагол, при котором P0 выполняет функцию подлежащего, Х - функцию главного дополнения, а P1 - функцию второстепенного дополнения)
